serum,potency
DENV4/THAILAND/2000/02021/00,2.4593019668564464
DENV1/THAILAND/2001/04774/01,2.287361535942434
DENV2/THAILAND/2006/02337/06,2.2370005200897274
DENV2/THAILAND/2001/03244/01,2.109414230409485
DENV2/THAILAND/2007/00511/07,2.0835399625740294
DENV1/THAILAND/2013/00485/13,1.9701445568929319
DENV2/THAILAND/2004/00617/04,1.9367476366528067
DENV4/THAILAND/2009/01559/09,1.9238877081088643
DENV4/THAILAND/1999/05538/99,1.856037421286526
DENV1/THAILAND/1998/06810/98,1.8392486363763556
DENV1/THAILAND/2014/00725/14,1.8323175362617767
DENV1/THAILAND/2010/01327/10,1.8040712522181084
DENV1/THAILAND/1999/03739/99,1.7670340875731332
DENV1/THAILAND/2006/02340/06,1.7619511245673658
DENV1/THAILAND/2011/01450/11,1.743738869896243
DENV2/THAILAND/2012/01113/12,1.7242599831473673
DENV1/THAILAND/2011/01392/11,1.718705986717022
DENV1/THAILAND/2010/00792/10,1.6940846004538082
DENV4/THAILAND/2011/00257/11,1.679812280219104
DENV4/THAILAND/2014/00214/14,1.661967879880792
DENV1/THAILAND/2006/01932/06,1.652550686702501
DENV3/THAILAND/1995/00780/95,1.6351436340623637
DENV1/THAILAND/2013/00343/13,1.6259074113978362
DENV2/THAILAND/1994/01414/94,1.6237788183901545
DENV2/THAILAND/2002/02934/02,1.6092361871869187
DENV1/THAILAND/2010/01518/10,1.607287269796902
DENV4/THAILAND/2002/01222/02,1.5915749106522747
DENV2/THAILAND/2000/05855/00,1.5748280111775042
DENV3/THAILAND/1995/01658/95,1.5556660983829738
DENV1/THAILAND/2011/00577/11,1.5483383716644659
DENV1/THAILAND/2012/00829/12,1.5298667317336743
DENV4/THAILAND/2010/01270/10,1.5265485214898455
DENV2/THAILAND/2005/01574/05,1.5242793447154457
DENV2/THAILAND/2010/00791/10,1.5162935463812313
DENV3/THAILAND/2006/02121/06,1.5059175019947693
DENV1/THAILAND/1996/00942/96,1.505431676950074
DENV2/THAILAND/2002/02678/02,1.4888718374740888
DENV2/THAILAND/2006/00127/06,1.478354986217547
DENV3/THAILAND/2010/01601/10,1.4723433661840821
DENV4/THAILAND/2011/00251/11,1.4658272364258298
DENV4/THAILAND/2013/01012/13,1.4303966900100331
DENV3/THAILAND/2011/00323/11,1.4271746894930075
DENV2/THAILAND/2006/00444/06,1.4051474149524341
DENV2/THAILAND/1998/06160/98,1.3999387894321826
DENV2/THAILAND/1995/00976/95,1.3896451617279453
DENV3/THAILAND/2010/01575/10,1.385517631432128
DENV3/THAILAND/2002/00767/02,1.3681342724955738
DENV4/THAILAND/2010/00249/10,1.36708428926195
DENV3/THAILAND/2000/02080/00,1.3648740816553022
DENV3/THAILAND/2006/01375/06,1.3547917416484692
DENV3/THAILAND/1994/00128/94,1.3498375005761674
DENV1/THAILAND/1994/00532/94,1.3222692499041375
DENV4/THAILAND/2012/00637/12,1.3215219110018184
DENV4/THAILAND/2001/05386/01,1.3137552367134668
DENV3/THAILAND/2009/01231/09,1.3086871315814772
DENV2/THAILAND/1996/00024/96,1.3070189391982714
DENV1/THAILAND/2012/01133/12,1.2970139243266052
DENV4/THAILAND/2010/01677/10,1.290899096729931
DENV3/THAILAND/2000/02242/00,1.287064322545602
DENV2/THAILAND/2007/02071/07,1.2735850778937996
DENV1/THAILAND/2004/00088/04,1.2658806019619946
DENV1/THAILAND/2011/00330/11,1.2641477927633962
DENV1/THAILAND/2004/01420/04,1.2306718235790404
DENV2/THAILAND/2012/01090/12,1.2301554448728151
DENV2/THAILAND/2000/05529/00,1.2156279685702067
DENV2/THAILAND/2001/03693/01,1.2102678236637336
