virus,avidity
DENV4/THAILAND/2000/02021/00,2.458322240328846
DENV1/THAILAND/2001/04774/01,2.336317780865469
DENV2/THAILAND/2006/02337/06,2.2926853871235577
DENV2/THAILAND/2001/03244/01,2.1373759427152974
DENV2/THAILAND/2007/00511/07,2.100841975459375
DENV1/THAILAND/2013/00485/13,1.9553345878398685
DENV4/THAILAND/1999/05538/99,1.9277693315056366
DENV4/THAILAND/2009/01559/09,1.9128984592480809
DENV2/THAILAND/2004/00617/04,1.8833827004197834
DENV1/THAILAND/2010/01327/10,1.8806167527461108
DENV1/THAILAND/2014/00725/14,1.8710944011792157
DENV1/THAILAND/1998/06810/98,1.8459597365652078
DENV2/THAILAND/2012/01113/12,1.7925257199643747
DENV1/THAILAND/1999/03739/99,1.7921897294665865
DENV1/THAILAND/2006/02340/06,1.7888725297915875
DENV1/THAILAND/2011/01450/11,1.7799939669417135
DENV3/THAILAND/1995/00780/95,1.7738327729254326
DENV1/THAILAND/2011/01392/11,1.7345161918590737
DENV4/THAILAND/2011/00257/11,1.7032054129587333
DENV4/THAILAND/2014/00214/14,1.6964729083494516
DENV1/THAILAND/2010/00792/10,1.6817550892329087
DENV1/THAILAND/2010/01518/10,1.6771929854465322
DENV2/THAILAND/2002/02934/02,1.667502208964365
DENV3/THAILAND/1995/01658/95,1.6673099759411985
DENV1/THAILAND/2006/01932/06,1.6512461459647712
DENV4/THAILAND/2002/01222/02,1.650639696603032
DENV2/THAILAND/2000/05855/00,1.640006997298515
DENV2/THAILAND/1994/01414/94,1.6361338435968271
DENV1/THAILAND/2011/00577/11,1.6292014925627611
DENV1/THAILAND/2013/00343/13,1.6171098725949853
DENV4/THAILAND/2010/01270/10,1.615698792880043
DENV3/THAILAND/2010/01601/10,1.6113980905877656
DENV1/THAILAND/2012/00829/12,1.5687438491458403
DENV3/THAILAND/2006/02121/06,1.5565878938812132
DENV2/THAILAND/2006/00127/06,1.525259381557077
DENV2/THAILAND/2010/00791/10,1.5171955422865413
DENV1/THAILAND/1996/00942/96,1.511787075351048
DENV4/THAILAND/2011/00251/11,1.5003355193225558
DENV3/THAILAND/2010/01575/10,1.4990087140186998
DENV2/THAILAND/2002/02678/02,1.4957155384896315
DENV3/THAILAND/2002/00767/02,1.477866435585042
DENV4/THAILAND/2013/01012/13,1.4734222601852525
DENV3/THAILAND/2009/01231/09,1.4688830060557967
DENV2/THAILAND/2005/01574/05,1.46556165490587
