virus,avidity
DENV4/THAILAND/2000/02021/00,2.477256035268046
DENV1/THAILAND/2001/04774/01,2.3499083769531457
DENV2/THAILAND/2006/02337/06,2.2944355980090645
DENV2/THAILAND/2007/00511/07,2.1372732556972123
DENV2/THAILAND/2001/03244/01,2.1042529071416776
DENV1/THAILAND/2013/00485/13,2.0000315679409324
DENV4/THAILAND/1999/05538/99,1.9459130608595043
DENV4/THAILAND/2009/01559/09,1.8937056476431582
DENV2/THAILAND/2004/00617/04,1.8865966915786363
DENV1/THAILAND/2014/00725/14,1.8621716530796293
DENV1/THAILAND/1998/06810/98,1.8579989202686336
DENV1/THAILAND/1999/03739/99,1.8322229588925274
DENV1/THAILAND/2006/02340/06,1.82562586515915
DENV1/THAILAND/2010/01327/10,1.8216625006141638
DENV1/THAILAND/2011/01450/11,1.7972327134679045
DENV3/THAILAND/1995/00780/95,1.7908262552058298
DENV1/THAILAND/2011/01392/11,1.772769665985489
DENV2/THAILAND/2012/01113/12,1.7508161877554218
DENV1/THAILAND/2010/00792/10,1.7463438387195054
DENV1/THAILAND/2013/00343/13,1.718362987448827
DENV4/THAILAND/2011/00257/11,1.701536350424054
DENV3/THAILAND/1995/01658/95,1.6977521247920637
DENV3/THAILAND/2010/01601/10,1.6774950102768902
DENV1/THAILAND/2010/01518/10,1.6721359628534278
DENV2/THAILAND/2002/02934/02,1.668381465591693
DENV2/THAILAND/1994/01414/94,1.6665105288725874
DENV4/THAILAND/2014/00214/14,1.6607089644680157
DENV1/THAILAND/2006/01932/06,1.6517940536614697
DENV3/THAILAND/2010/01575/10,1.624377014925201
DENV4/THAILAND/2002/01222/02,1.6092370667616849
DENV1/THAILAND/2011/00577/11,1.5951377602564665
DENV1/THAILAND/2012/00829/12,1.5933379032401571
DENV4/THAILAND/2010/01270/10,1.587225818167024
DENV1/THAILAND/1996/00942/96,1.5614946411068575
DENV2/THAILAND/2000/05855/00,1.5475007896669146
DENV3/THAILAND/2006/02121/06,1.5438749618125558
DENV2/THAILAND/2005/01574/05,1.5384007979277945
DENV2/THAILAND/2002/02678/02,1.5351010417624487
DENV3/THAILAND/2009/01231/09,1.5157533873724807
DENV3/THAILAND/2002/00767/02,1.5120617562755212
DENV2/THAILAND/2010/00791/10,1.497640076310231
DENV2/THAILAND/2006/00127/06,1.4972990219883284
DENV4/THAILAND/2011/00251/11,1.4720856874329404
DENV3/THAILAND/2000/02080/00,1.4710649972304455
DENV4/THAILAND/2010/00249/10,1.4664524279075373
DENV4/THAILAND/2013/01012/13,1.446070654682748
DENV2/THAILAND/1998/06160/98,1.4128140022826798
DENV2/THAILAND/2006/00444/06,1.406725488958592
DENV1/THAILAND/1994/00532/94,1.4026203739845413
DENV3/THAILAND/2011/01278/11,1.384312121680645
DENV2/THAILAND/1995/00976/95,1.3788373216279457
DENV3/THAILAND/2011/00323/11,1.3783338904018128
DENV3/THAILAND/2006/01375/06,1.3719644451629767
DENV2/THAILAND/1996/00024/96,1.35825832344078
DENV4/THAILAND/2001/05386/01,1.3468318736464189
DENV2/THAILAND/2007/02071/07,1.341606802984307
DENV3/THAILAND/1994/00128/94,1.337133864096203
DENV3/THAILAND/2000/02242/00,1.329663127519043
DENV4/THAILAND/2012/00637/12,1.3281291037910432
DENV1/THAILAND/2004/00088/04,1.318702887660163
DENV1/THAILAND/2004/01420/04,1.3169484559374416
DENV1/THAILAND/2012/01133/12,1.3041184141800923
DENV4/THAILAND/2010/01677/10,1.295203408470727
DENV1/THAILAND/2011/00330/11,1.2733794995435452
DENV3/THAILAND/1995/00247/95,1.2723524324065323
DENV2/THAILAND/2000/05529/00,1.263395452613713
DENV4/THAILAND/2006/00356/06,1.2630974933078363
DENV4/THAILAND/2008/00471/08,1.2627720463595766
DENV3/THAILAND/2006/01128/06,1.257745835365053
DENV1/THAILAND/2006/01448/06,1.2534986354649476
DENV3/THAILAND/2000/05443/00,1.2476195387936995
DENV2/THAILAND/2001/03693/01,1.247300316388786
DENV1/THAILAND/2014/00444/14,1.2445624700660278
DENV3/THAILAND/2011/01035/11,1.2335778471993115
DENV2/THAILAND/2002/01050/02,1.2263972543687225
DENV1/THAILAND/1998/00141/98,1.2240801261356404
DENV2/THAILAND/2013/00696/13,1.2079882457402136
DENV4/THAILAND/2009/01432/09,1.20341838055168
