fitmethod,antigenicdist,aaver,adjver,featureType,protein_name,serum,lower,Median,upper
nnls,thai_map,AA,adj_none,aasub,nonstructural_protein_NS4B,DENV1/THAILAND/1994/00532/94,0.45031482175370063,0.5302624248787449,0.6539107669854249
nnls,thai_map,AA,adj_none,aasub,nonstructural_protein_NS1,DENV1/THAILAND/1994/00532/94,0.8863336566061479,0.9293064067485828,0.9912828244333707
nnls,thai_map,AA,adj_none,aasub,anchored_capsid_protein_C,DENV1/THAILAND/1994/00532/94,1.2115783309350894,1.2321705521701003,1.2682661539142368
nnls,thai_map,AA,adj_none,aasub,membrane_glycoprotein_M,DENV1/THAILAND/1994/00532/94,1.2133097755849922,1.2369481738046815,1.2728491785418317
nnls,thai_map,AA,adj_none,aasub,membrane_glycoprotein_precursor_M,DENV1/THAILAND/1994/00532/94,1.22283958147553,1.2466033637579308,1.2788543601233189
nnls,thai_map,AA,adj_none,aasub,protein_2K,DENV1/THAILAND/1994/00532/94,1.2243393339305673,1.2496459527447374,1.2855203021151977
nnls,thai_map,AA,adj_none,aasub,protein_pr,DENV1/THAILAND/1994/00532/94,1.228477705061849,1.251861288882743,1.2846753757822431
nnls,thai_map,AA,adj_none,aasub,capsid_protein_C,DENV1/THAILAND/1994/00532/94,1.2266126067420926,1.253427628554872,1.2908379579631903
nnls,thai_map,AA,adj_none,aasub,nonstructural_protein_NS2B,DENV1/THAILAND/1994/00532/94,1.2297140630875152,1.25606368736161,1.2928089840714143
nnls,thai_map,AA,adj_none,aasub,nonstructural_protein_NS3,DENV1/THAILAND/1994/00532/94,1.2340007267114057,1.2615020077940386,1.2970424955345816
nnls,thai_map,AA,adj_none,aasub,nonstructural_protein_NS4A,DENV1/THAILAND/1994/00532/94,1.2380426300477299,1.2672658350467,1.3095272695401445
nnls,thai_map,AA,adj_none,aasub,nonstructural_protein_NS2A,DENV1/THAILAND/1994/00532/94,1.258832060070092,1.2820416806390302,1.3157081967200366
nnls,thai_map,AA,adj_none,aasub,envelope_protein_E,DENV1/THAILAND/1994/00532/94,1.2960791099914442,1.3245505792447279,1.3619188367089583
nnls,thai_map,AA,adj_none,aasub,RNA-dependent_RNA_polymerase_NS5,DENV1/THAILAND/1994/00532/94,1.3376829695782257,1.3669672160256476,1.4044462506934208
nnls,thai_map,AA,adj_none,aasub,nonstructural_protein_NS2A,DENV1/THAILAND/1994/00817/94,0.471053214635507,0.5689394416105044,0.6482159476987017
